Area,Item,Year,Unit,Value
Poland,Coal,2015,kilotonnes,6833.904
Poland,Coal,2020,kilotonnes,7087.7347
Portugal,Coal,2010,kilotonnes,11.513
Portugal,Coal,2015,kilotonnes,0.9092
Portugal,Coal,2020,kilotonnes,0.1532
Puerto Rico,Coal,2010,NULL,NULL
Puerto Rico,Coal,2015,NULL,NULL
Puerto Rico,Coal,2020,NULL,NULL
Qatar,Coal,2010,NULL,NULL
Qatar,Coal,2015,NULL,NULL
Qatar,Coal,2020,NULL,NULL
Republic of Korea,Coal,2010,kilotonnes,427.5545
Republic of Korea,Coal,2015,kilotonnes,427.205
Republic of Korea,Coal,2020,kilotonnes,504.48
Republic of Moldova,Coal,2010,kilotonnes,4.3181
Republic of Moldova,Coal,2015,kilotonnes,2.4407
Republic of Moldova,Coal,2020,kilotonnes,7.8102
Réunion,Coal,2010,NULL,NULL
Réunion,Coal,2015,NULL,NULL
Réunion,Coal,2020,NULL,NULL
Romania,Coal,2010,kilotonnes,2.9131
Romania,Coal,2015,kilotonnes,3.2542
Romania,Coal,2020,kilotonnes,4.8551
Russian Federation,Coal,2010,kilotonnes,327.0511
Russian Federation,Coal,2015,kilotonnes,668.7463
Russian Federation,Coal,2020,kilotonnes,236.2578
Rwanda,Coal,2010,NULL,NULL
Rwanda,Coal,2015,NULL,NULL
Rwanda,Coal,2020,NULL,NULL
"Saint Helena, Ascension and Tristan da Cunha",Coal,2010,NULL,NULL
"Saint Helena, Ascension and Tristan da Cunha",Coal,2015,NULL,NULL
"Saint Helena, Ascension and Tristan da Cunha",Coal,2020,NULL,NULL
Saint Kitts and Nevis,Coal,2010,NULL,NULL
Saint Kitts and Nevis,Coal,2015,NULL,NULL
Saint Kitts and Nevis,Coal,2020,NULL,NULL
Saint Lucia,Coal,2010,NULL,NULL
Saint Lucia,Coal,2015,NULL,NULL
Saint Lucia,Coal,2020,NULL,NULL
Saint Pierre and Miquelon,Coal,2010,NULL,NULL
Saint Pierre and Miquelon,Coal,2015,NULL,NULL
Saint Pierre and Miquelon,Coal,2020,NULL,NULL
Saint Vincent and the Grenadines,Coal,2010,NULL,NULL
Saint Vincent and the Grenadines,Coal,2015,NULL,NULL
Saint Vincent and the Grenadines,Coal,2020,NULL,NULL
Samoa,Coal,2010,NULL,NULL
Samoa,Coal,2015,NULL,NULL
Samoa,Coal,2020,NULL,NULL
San Marino,Coal,2010,NULL,NULL
San Marino,Coal,2015,NULL,NULL
San Marino,Coal,2020,NULL,NULL
Sao Tome and Principe,Coal,2010,NULL,NULL
Sao Tome and Principe,Coal,2015,NULL,NULL
Sao Tome and Principe,Coal,2020,NULL,NULL
Saudi Arabia,Coal,2010,NULL,NULL
Saudi Arabia,Coal,2015,NULL,NULL
Saudi Arabia,Coal,2020,NULL,NULL
Senegal,Coal,2010,kilotonnes,65.0555
Senegal,Coal,2015,kilotonnes,54.71
Senegal,Coal,2020,kilotonnes,51.0196
Serbia,Coal,2010,kilotonnes,17.7122
Serbia,Coal,2015,kilotonnes,18.5155
Serbia,Coal,2020,kilotonnes,24.7391
Serbia and Montenegro,Coal,2010,NULL,NULL
Serbia and Montenegro,Coal,2015,NULL,NULL
Serbia and Montenegro,Coal,2020,NULL,NULL
Seychelles,Coal,2010,NULL,NULL
Seychelles,Coal,2015,NULL,NULL
Seychelles,Coal,2020,NULL,NULL
Sierra Leone,Coal,2010,NULL,NULL
Sierra Leone,Coal,2015,NULL,NULL
Sierra Leone,Coal,2020,NULL,NULL
Singapore,Coal,2010,kilotonnes,0.0052
Singapore,Coal,2015,kilotonnes,3.0568
Singapore,Coal,2020,kilotonnes,3.8186
Slovakia,Coal,2010,kilotonnes,4.8814
Slovakia,Coal,2015,kilotonnes,4.1859
Slovakia,Coal,2020,kilotonnes,4.2935
